company,role,start,end,category
Bitboundarie – USA,Senior Data Engineer,2025-11-01,3000-01-01,experience
Five Acts - BRA,Senior Data Engineer,2024-04-01,2025-11-01,experience
Delta Ai - BRA,Data Engineer Consultant,2024-11-01,2025-03-01,experience
VLG Investimentos – BRA,Senior Data Engineer,2021-06-01,2024-03-01,experience
VLG Investimentos – BRA,Data Engineer,2020-06-01,2021-06-01,experience
IBPAD – BRA,Data Scientist,2018-10-01,2020-06-01,experience
UnB – BRA,Software Engineering – BS,2014-06-01,2019-06-01,education
UnB – BRA,Udergraduate Researcher,2017-01-01,2018-01-01,education
Astronomer,Apache Airflow Fundamentals,2024-02-11,3000-01-01,certification
Databricks,Data Engineer Associate,2024-10-01,2026-10-01,certification
Databricks,Data Engineer Professional,2025-02-25,2027-02-25,certification
Databricks,Generative Ai Engineer,2025-08-29,2027-08-29,certification
